S.NO,ITEM,PRICE(INR),PRICE(USD),
1,SpeedyBee F405 V4 BLS 55A 30x30 FC&ESC Stack,6116,71.14 USD,
2,One Shot BLHeli_32 35A 32 bit 2-5S ESC,2800,33 USD,
3,XING-E Pro 2207 2-6S FPV Motor Unibell – 1800KV,8400,100 USD,
4,HGLRC Zeus Nano VTX 350mW,2000,23 USD,
5,Eachine Eachine ROTG02 UVC OTG 5.8G 150CH Diversity Audio FPV,5800,65 USD,
6,Batteries ,2000-2500,20-30 USD,
7,BMS,800,8-10 USD,
8,MPU9250 SENSOR (MOTION SENSOR),800,10 USD,
9,Flex Sensor,540 X 4,25 USD,
10,3-D PRINTING OR CASE COST,2000-2500 INR (EST),30-35 USD,
11,TRANSMITTER (CUSTOM),2400,30 USD,
12,GPS MODULE,1000-1200,20 USD,
13,Caddx Ant 16:9 Silver Nano Fpv Camera,1600,19 USD
14,,,,
,TOTAL,,460 USD,
,,,,
NOTE: THIS COST IS A ROUGH ESTIMATE AS I CAN FIND SOME OF THESE PARTS CHEAPER FROM ANOTHER SOURCES BUT I NEED TO VERIFY AND REST OF THE COST I WILL BE COVERING FROM TERMINAL-CRAFT GRANT AND FROM MY OWN MONEY,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
